n_cities            population_size     mutation_percent    n_iterations        time                path_len            accuracy            
100                 10                  100                 1000                0.302847            259                 38.61               
100                 15                  100                 1000                0.863717            294                 34.0136             
100                 20                  100                 1000                1.12287             278                 35.9712             
100                 25                  100                 1000                1.40364             292                 34.2466             
100                 30                  100                 1000                1.78274             301                 33.2226             
100                 35                  100                 1000                2.56485             299                 33.4448             
100                 40                  100                 1000                3.18954             323                 30.9598             
100                 45                  100                 1000                3.54755             321                 31.1526             
100                 50                  100                 1000                4.03656             329                 30.3951             
100                 55                  100                 1000                4.61318             336                 29.7619             
100                 60                  100                 1000                5.23335             337                 29.6736             
100                 65                  100                 1000                6.04401             345                 28.9855             
100                 70                  100                 1000                6.53225             347                 28.8184             
100                 75                  100                 1000                7.61232             334                 29.9401             
100                 80                  100                 1000                8.20353             385                 25.974              
100                 85                  100                 1000                8.70256             367                 27.248              
100                 90                  100                 1000                9.76891             335                 29.8507             
100                 95                  100                 1000                10.5612             365                 27.3973             
100                 100                 100                 1000                10.7723             367                 27.248              
