n_cities            population_size     mutation_percent    n_iterations        time                path_len            accuracy            
10                  4                   100                 10000               0.0336261           12                  83.3333             
20                  4                   100                 10000               0.0761302           34                  58.8235             
30                  4                   100                 10000               0.136376            44                  68.1818             
40                  4                   100                 10000               0.20466             52                  76.9231             
50                  4                   100                 10000               0.289552            66                  75.7576             
60                  4                   100                 10000               0.410741            84                  71.4286             
70                  4                   100                 10000               0.550359            101                 69.3069             
80                  4                   100                 10000               0.711298            117                 68.3761             
90                  4                   100                 10000               0.88938             130                 69.2308             
100                 4                   100                 10000               1.04648             157                 63.6943             
