n_cities            population_size     mutation_percent    n_iterations        time                path_len            accuracy            
100                 4                   100                 1000                0.294678            229                 43.6681             
100                 4                   100                 2000                0.597452            190                 52.6316             
100                 4                   100                 3000                0.904381            171                 58.4795             
100                 4                   100                 4000                1.21213             161                 62.1118             
100                 4                   100                 5000                1.5159              158                 63.2911             
100                 4                   100                 6000                1.81659             156                 64.1026             
100                 4                   100                 7000                2.12142             154                 64.9351             
100                 4                   100                 8000                2.42219             154                 64.9351             
100                 4                   100                 9000                2.73168             151                 66.2252             
100                 4                   100                 10000               3.0335              149                 67.1141             
100                 4                   100                 11000               3.33785             149                 67.1141             
100                 4                   100                 12000               3.64111             147                 68.0272             
100                 4                   100                 13000               3.94174             147                 68.0272             
100                 4                   100                 14000               4.24943             146                 68.4932             
100                 4                   100                 15000               4.55502             146                 68.4932             
100                 4                   100                 16000               4.86018             143                 69.9301             
100                 4                   100                 17000               5.16732             142                 70.4225             
100                 4                   100                 18000               5.46882             142                 70.4225             
100                 4                   100                 19000               5.77113             141                 70.922              
100                 4                   100                 20000               6.07173             141                 70.922              
100                 4                   100                 21000               6.37694             141                 70.922              
100                 4                   100                 22000               6.68551             137                 72.9927             
100                 4                   100                 23000               6.9884              135                 74.0741             
100                 4                   100                 24000               7.29134             134                 74.6269             
100                 4                   100                 25000               7.60241             134                 74.6269             
100                 4                   100                 26000               7.90731             134                 74.6269             
100                 4                   100                 27000               8.21058             134                 74.6269             
100                 4                   100                 28000               8.51198             134                 74.6269             
100                 4                   100                 29000               8.82304             133                 75.188              
100                 4                   100                 30000               9.12109             133                 75.188              
100                 4                   100                 31000               9.43475             133                 75.188              
100                 4                   100                 32000               9.74259             132                 75.7576             
100                 4                   100                 33000               10.0502             132                 75.7576             
100                 4                   100                 34000               10.3574             132                 75.7576             
100                 4                   100                 35000               10.6591             131                 76.3359             
100                 4                   100                 36000               10.9711             131                 76.3359             
100                 4                   100                 37000               11.2786             131                 76.3359             
100                 4                   100                 38000               11.5723             131                 76.3359             
100                 4                   100                 39000               11.8872             131                 76.3359             
100                 4                   100                 40000               12.1912             130                 76.9231             
100                 4                   100                 41000               12.4957             130                 76.9231             
100                 4                   100                 42000               12.8074             130                 76.9231             
100                 4                   100                 43000               13.1152             130                 76.9231             
100                 4                   100                 44000               13.4219             130                 76.9231             
100                 4                   100                 45000               13.7313             130                 76.9231             
100                 4                   100                 46000               14.013              130                 76.9231             
100                 4                   100                 47000               14.3421             130                 76.9231             
100                 4                   100                 48000               14.633              130                 76.9231             
100                 4                   100                 49000               14.9381             130                 76.9231             
100                 4                   100                 50000               15.2452             130                 76.9231             
