n_cities            population_size     mutation_percent    n_iterations        time                path_len            accuracy            
100                 5                   100                 10000               3.5271              152                 65.7895             
100                 10                  100                 10000               6.22468             173                 57.8035             
100                 15                  100                 10000               15.3168             174                 57.4713             
100                 20                  100                 10000               19.5598             178                 56.1798             
100                 25                  100                 10000               23.0132             182                 54.9451             
100                 30                  100                 10000               30.669              176                 56.8182             
100                 35                  100                 10000               41.366              199                 50.2513             
100                 40                  100                 10000               52.0364             186                 53.7634             
100                 45                  100                 10000               57.7716             189                 52.9101             
100                 50                  100                 10000               65.4968             178                 56.1798             
100                 55                  100                 10000               73.6293             212                 47.1698             
100                 60                  100                 10000               82.3756             227                 44.0529             
100                 65                  100                 10000               91.9601             211                 47.3934             
100                 70                  100                 10000               103.152             204                 49.0196             
100                 75                  100                 10000               113.995             208                 48.0769             
100                 80                  100                 10000               124.678             218                 45.8716             
100                 85                  100                 10000               133.358             210                 47.619              
100                 90                  100                 10000               146.091             214                 46.729              
100                 95                  100                 10000               157.987             191                 52.356              
100                 100                 100                 10000               163.122             216                 46.2963             
