n_cities            population_size     mutation_percent    n_iterations        time                path_len            accuracy            
100                 4                   0                   10000               1.7884              540                 18.5185             
100                 4                   1                   10000               2.29676             351                 28.49               
100                 4                   2                   10000               2.5156              264                 37.8788             
100                 4                   3                   10000               2.63956             279                 35.8423             
100                 4                   4                   10000               2.64635             214                 46.729              
100                 4                   5                   10000               2.69732             218                 45.8716             
100                 4                   6                   10000               2.73637             197                 50.7614             
100                 4                   7                   10000               2.73836             189                 52.9101             
100                 4                   8                   10000               2.73158             188                 53.1915             
100                 4                   9                   10000               2.74496             183                 54.6448             
100                 4                   10                  10000               2.74658             196                 51.0204             
100                 4                   11                  10000               2.72946             175                 57.1429             
100                 4                   12                  10000               2.77164             182                 54.9451             
100                 4                   13                  10000               2.75545             194                 51.5464             
100                 4                   14                  10000               2.76479             181                 55.2486             
100                 4                   15                  10000               2.80086             183                 54.6448             
100                 4                   16                  10000               2.81541             173                 57.8035             
100                 4                   17                  10000               2.83997             178                 56.1798             
100                 4                   18                  10000               2.82555             174                 57.4713             
100                 4                   19                  10000               2.85886             185                 54.0541             
100                 4                   20                  10000               2.88863             159                 62.8931             
100                 4                   21                  10000               2.81362             163                 61.3497             
100                 4                   22                  10000               2.83215             167                 59.8802             
100                 4                   23                  10000               2.78538             174                 57.4713             
100                 4                   24                  10000               2.81695             174                 57.4713             
100                 4                   25                  10000               2.75206             166                 60.241              
100                 4                   26                  10000               2.81597             156                 64.1026             
100                 4                   27                  10000               2.87114             163                 61.3497             
100                 4                   28                  10000               2.84842             163                 61.3497             
100                 4                   29                  10000               2.93772             164                 60.9756             
100                 4                   30                  10000               2.82613             158                 63.2911             
100                 4                   31                  10000               2.81401             156                 64.1026             
100                 4                   32                  10000               2.84966             160                 62.5                
100                 4                   33                  10000               2.83501             168                 59.5238             
100                 4                   34                  10000               2.84021             140                 71.4286             
100                 4                   35                  10000               2.87556             157                 63.6943             
100                 4                   36                  10000               2.88241             167                 59.8802             
100                 4                   37                  10000               2.81516             154                 64.9351             
100                 4                   38                  10000               2.86979             167                 59.8802             
100                 4                   39                  10000               2.87169             153                 65.3595             
100                 4                   40                  10000               2.86865             153                 65.3595             
100                 4                   41                  10000               2.90935             146                 68.4932             
100                 4                   42                  10000               2.94267             161                 62.1118             
100                 4                   43                  10000               2.8834              160                 62.5                
100                 4                   44                  10000               2.91524             167                 59.8802             
100                 4                   45                  10000               2.95781             146                 68.4932             
100                 4                   46                  10000               2.89385             156                 64.1026             
100                 4                   47                  10000               2.93659             148                 67.5676             
100                 4                   48                  10000               2.92562             150                 66.6667             
100                 4                   49                  10000               2.89942             151                 66.2252             
100                 4                   50                  10000               2.92941             148                 67.5676             
100                 4                   51                  10000               2.90737             151                 66.2252             
100                 4                   52                  10000               2.86588             152                 65.7895             
100                 4                   53                  10000               2.96296             146                 68.4932             
100                 4                   54                  10000               2.839               153                 65.3595             
100                 4                   55                  10000               2.95699             152                 65.7895             
100                 4                   56                  10000               2.93579             155                 64.5161             
100                 4                   57                  10000               2.90174             153                 65.3595             
100                 4                   58                  10000               2.93099             154                 64.9351             
100                 4                   59                  10000               2.93772             148                 67.5676             
100                 4                   60                  10000               2.83643             151                 66.2252             
100                 4                   61                  10000               2.98879             149                 67.1141             
100                 4                   62                  10000               2.98039             139                 71.9424             
100                 4                   63                  10000               2.92398             141                 70.922              
100                 4                   64                  10000               2.9388              146                 68.4932             
100                 4                   65                  10000               2.91426             155                 64.5161             
100                 4                   66                  10000               2.94679             142                 70.4225             
100                 4                   67                  10000               2.96195             139                 71.9424             
100                 4                   68                  10000               2.91453             149                 67.1141             
100                 4                   69                  10000               2.93244             145                 68.9655             
100                 4                   70                  10000               2.91727             161                 62.1118             
100                 4                   71                  10000               2.91881             155                 64.5161             
100                 4                   72                  10000               3.04284             153                 65.3595             
100                 4                   73                  10000               2.93703             151                 66.2252             
100                 4                   74                  10000               3.02262             147                 68.0272             
100                 4                   75                  10000               2.91113             136                 73.5294             
100                 4                   76                  10000               2.95556             138                 72.4638             
100                 4                   77                  10000               2.92936             152                 65.7895             
100                 4                   78                  10000               3.01787             150                 66.6667             
100                 4                   79                  10000               2.95759             141                 70.922              
100                 4                   80                  10000               2.94511             144                 69.4444             
100                 4                   81                  10000               2.94658             159                 62.8931             
100                 4                   82                  10000               2.97098             149                 67.1141             
100                 4                   83                  10000               2.93234             150                 66.6667             
100                 4                   84                  10000               2.98255             140                 71.4286             
100                 4                   85                  10000               2.96076             145                 68.9655             
100                 4                   86                  10000               3.01112             143                 69.9301             
100                 4                   87                  10000               3.00467             154                 64.9351             
100                 4                   88                  10000               2.95273             141                 70.922              
100                 4                   89                  10000               2.93404             147                 68.0272             
100                 4                   90                  10000               2.98011             142                 70.4225             
100                 4                   91                  10000               2.97403             154                 64.9351             
100                 4                   92                  10000               2.89956             152                 65.7895             
100                 4                   93                  10000               2.94746             149                 67.1141             
100                 4                   94                  10000               2.93814             146                 68.4932             
100                 4                   95                  10000               2.9376              140                 71.4286             
100                 4                   96                  10000               2.9964              144                 69.4444             
100                 4                   97                  10000               2.96763             147                 68.0272             
100                 4                   98                  10000               3.04419             148                 67.5676             
100                 4                   99                  10000               3.00004             150                 66.6667             
100                 4                   100                 10000               3.03565             149                 67.1141             
