n_cities            population_size     mutation_percent    n_iterations        time                path_len            accuracy            
10                  4                   100                 10000               0.0695751           12                  83.3333             
20                  4                   100                 10000               0.217496            34                  58.8235             
30                  4                   100                 10000               0.420064            44                  68.1818             
40                  4                   100                 10000               0.68625             52                  76.9231             
50                  4                   100                 10000               0.996267            66                  75.7576             
60                  4                   100                 10000               1.37568             84                  71.4286             
70                  4                   100                 10000               1.69479             101                 69.3069             
80                  4                   100                 10000               2.14173             117                 68.3761             
90                  4                   100                 10000               2.54286             130                 69.2308             
100                 4                   100                 10000               2.95642             157                 63.6943             
